       ROUND ROBIN (q= 2)
Tiempo 0 - 2; P1
Tiempo 2 - 4; P2
Tiempo 4 - 6; P3
Tiempo 6 - 8; P2
Tiempo 8 - 10; P4
Tiempo 10 - 12; P3
Tiempo 12 - 14; P5
Tiempo 14 - 16; P6
Tiempo 16 - 18; P4
Tiempo 18 - 20; P7
Tiempo 20 - 22; P3
Tiempo 22 - 24; P8
Tiempo 24 - 26; P5
Tiempo 26 - 28; P9
Tiempo 28 - 30; P10
Tiempo 30 - 32; P4
Tiempo 32 - 34; P11
Tiempo 34 - 36; P7
Tiempo 36 - 38; P12
Tiempo 38 - 40; P13
Tiempo 40 - 42; P8
Tiempo 42 - 44; P14
Tiempo 44 - 46; P5
Tiempo 46 - 48; P15
Tiempo 48 - 50; P9
Tiempo 50 - 52; P16
Tiempo 52 - 54; P10
Tiempo 54 - 56; P17
Tiempo 56 - 58; P4
Tiempo 58 - 60; P18
Tiempo 60 - 62; P19
Tiempo 62 - 64; P20
Tiempo 64 - 66; P12
Tiempo 66 - 68; P21
Tiempo 68 - 70; P13
Tiempo 70 - 72; P22
Tiempo 72 - 74; P8
Tiempo 74 - 76; P23
Tiempo 76 - 78; P14
Tiempo 78 - 80; P24
Tiempo 80 - 82; P5
Tiempo 82 - 84; P25
Tiempo 84 - 86; P15
Tiempo 86 - 88; P26
Tiempo 88 - 90; P9
Tiempo 90 - 92; P27
Tiempo 92 - 94; P28
Tiempo 94 - 96; P10
Tiempo 96 - 98; P29
Tiempo 98 - 100; P17
Tiempo 100 - 102; P30
Tiempo 102 - 104; P31
Tiempo 104 - 106; P18
Tiempo 106 - 108; P32
Tiempo 108 - 110; P19
Tiempo 110 - 112; P33
Tiempo 112 - 114; P20
Tiempo 114 - 116; P34
Tiempo 116 - 118; P35
Tiempo 118 - 120; P36
Tiempo 120 - 122; P13
Tiempo 122 - 124; P37
Tiempo 124 - 126; P22
Tiempo 126 - 128; P38
Tiempo 128 - 130; P39
Tiempo 130 - 132; P23
Tiempo 132 - 134; P40
Tiempo 134 - 136; P14
Tiempo 136 - 138; P41
Tiempo 138 - 140; P24
Tiempo 140 - 142; P42
Tiempo 142 - 144; P5
Tiempo 144 - 146; P43
Tiempo 146 - 148; P25
Tiempo 148 - 150; P44
Tiempo 150 - 152; P15
Tiempo 152 - 154; P45
Tiempo 154 - 156; P46
Tiempo 156 - 158; P9
Tiempo 158 - 160; P47
Tiempo 160 - 162; P27
Tiempo 162 - 164; P48
Tiempo 164 - 166; P28
Tiempo 166 - 168; P49
Tiempo 168 - 170; P10
Tiempo 170 - 172; P50
Tiempo 172 - 174; P29
Tiempo 174 - 176; P51
Tiempo 176 - 178; P52
Tiempo 178 - 180; P30
Tiempo 180 - 182; P53
Tiempo 182 - 184; P54
Tiempo 184 - 186; P18
Tiempo 186 - 188; P55
Tiempo 188 - 190; P32
Tiempo 190 - 192; P56
Tiempo 192 - 194; P19
Tiempo 194 - 196; P57
Tiempo 196 - 198; P33
Tiempo 198 - 200; P58
Tiempo 200 - 202; P20
Tiempo 202 - 204; P59
Tiempo 204 - 206; P34
Tiempo 206 - 208; P60
Tiempo 208 - 210; P35
Tiempo 210 - 212; P61
Tiempo 212 - 214; P62
Tiempo 214 - 216; P63
Tiempo 216 - 218; P37
Tiempo 218 - 220; P64
Tiempo 220 - 222; P65
Tiempo 222 - 224; P38
Tiempo 224 - 226; P66
Tiempo 226 - 228; P39
Tiempo 228 - 230; P67
Tiempo 230 - 232; P23
Tiempo 232 - 234; P68
Tiempo 234 - 236; P40
Tiempo 236 - 238; P69
Tiempo 238 - 240; P14
Tiempo 240 - 242; P70
Tiempo 242 - 244; P71
Tiempo 244 - 246; P24
Tiempo 246 - 248; P72
Tiempo 248 - 250; P42
Tiempo 250 - 252; P73
Tiempo 252 - 254; P74
Tiempo 254 - 256; P43
Tiempo 256 - 258; P75
Tiempo 258 - 260; P25
Tiempo 260 - 262; P76
Tiempo 262 - 264; P44
Tiempo 264 - 266; P77
Tiempo 266 - 268; P15
Tiempo 268 - 270; P78
Tiempo 270 - 272; P45
Tiempo 272 - 274; P79
Tiempo 274 - 276; P80
Tiempo 276 - 278; P81
Tiempo 278 - 280; P47
Tiempo 280 - 282; P82
Tiempo 282 - 284; P83
Tiempo 284 - 286; P48
Tiempo 286 - 288; P84
Tiempo 288 - 290; P28
Tiempo 290 - 292; P85
Tiempo 292 - 294; P49
Tiempo 294 - 296; P86
Tiempo 296 - 298; P10
Tiempo 298 - 300; P87
Tiempo 300 - 302; P50
Tiempo 302 - 304; P88
Tiempo 304 - 306; P29
Tiempo 306 - 308; P89
Tiempo 308 - 310; P90
Tiempo 310 - 312; P52
Tiempo 312 - 314; P91
Tiempo 314 - 316; P30
Tiempo 316 - 318; P92
Tiempo 318 - 320; P53
Tiempo 320 - 322; P93
Tiempo 322 - 324; P54
Tiempo 324 - 326; P94
Tiempo 326 - 328; P95
Tiempo 328 - 330; P55
Tiempo 330 - 332; P96
Tiempo 332 - 334; P97
Tiempo 334 - 336; P98
Tiempo 336 - 338; P19
Tiempo 338 - 340; P99
Tiempo 340 - 342; P57
Tiempo 342 - 344; P100
Tiempo 344 - 346; P33
Tiempo 346 - 348; P58
Tiempo 348 - 350; P20
Tiempo 350 - 352; P59
Tiempo 352 - 354; P34
Tiempo 354 - 356; P60
Tiempo 356 - 358; P35
Tiempo 358 - 360; P62
Tiempo 360 - 362; P63
Tiempo 362 - 364; P64
Tiempo 364 - 366; P65
Tiempo 366 - 368; P38
Tiempo 368 - 370; P39
Tiempo 370 - 372; P67
Tiempo 372 - 374; P68
Tiempo 374 - 376; P40
Tiempo 376 - 378; P69
Tiempo 378 - 380; P70
Tiempo 380 - 382; P24
Tiempo 382 - 384; P72
Tiempo 384 - 386; P73
Tiempo 386 - 388; P74
Tiempo 388 - 390; P43
Tiempo 390 - 392; P75
Tiempo 392 - 394; P25
Tiempo 394 - 396; P44
Tiempo 396 - 398; P77
Tiempo 398 - 400; P15
Tiempo 400 - 402; P78
Tiempo 402 - 404; P45
Tiempo 404 - 406; P79
Tiempo 406 - 408; P80
Tiempo 408 - 410; P82
Tiempo 410 - 412; P83
Tiempo 412 - 414; P48
Tiempo 414 - 416; P84
Tiempo 416 - 418; P85
Tiempo 418 - 420; P49
Tiempo 420 - 422; P87
Tiempo 422 - 424; P50
Tiempo 424 - 426; P88
Tiempo 426 - 428; P29
Tiempo 428 - 430; P89
Tiempo 430 - 432; P90
Tiempo 432 - 434; P30
Tiempo 434 - 436; P92
Tiempo 436 - 438; P53
