Resultados de la planificacion SJF (No Apropiativo):
-----------------------------------------------------------------------------------
Proceso   Llegada   Burst  Inicio   Fin   Espera   Retorno   Respuesta
-----------------------------------------------------------------------------------
P1       0        2      0       2    0       2        0        
P2       2        4      2       6    0       4        0        
P3       4        6      6       12   2       8        2        
P4       6        8      240     248  234     242      234      
P5       8        10     400     410  392     402      392      
P6       10       2      12      14   2       4        2        
P7       12       4      14      18   2       6        2        
P8       14       6      18      24   4       10       4        
P9       16       8      248     256  232     240      232      
P10      18       10     410     420  392     402      392      
P11      20       2      24      26   4       6        4        
P12      22       4      26      30   4       8        4        
P13      24       6      36      42   12      18       12       
P14      26       8      256     264  230     238      230      
P15      28       10     420     430  392     402      392      
P16      30       2      30      32   0       2        0        
P17      32       4      32      36   0       4        0        
P18      34       6      48      54   14      20       14       
P19      36       8      264     272  228     236      228      
P20      38       10     430     440  392     402      392      
P21      40       2      42      44   2       4        2        
P22      42       4      44      48   2       6        2        
P23      44       6      66      72   22      28       22       
P24      46       8      272     280  226     234      226      
P25      48       10     440     450  392     402      392      
P26      50       2      54      56   4       6        4        
P27      52       4      56      60   4       8        4        
P28      54       6      78      84   24      30       24       
P29      56       8      280     288  224     232      224      
P30      58       10     450     460  392     402      392      
P31      60       2      60      62   0       2        0        
P32      62       4      62      66   0       4        0        
P33      64       6      96      102  32      38       32       
P34      66       8      288     296  222     230      222      
P35      68       10     460     470  392     402      392      
P36      70       2      72      74   2       4        2        
P37      72       4      74      78   2       6        2        
P38      74       6      108     114  34      40       34       
P39      76       8      296     304  220     228      220      
P40      78       10     470     480  392     402      392      
P41      80       2      84      86   4       6        4        
P42      82       4      86      90   4       8        4        
P43      84       6      126     132  42      48       42       
P44      86       8      304     312  218     226      218      
P45      88       10     480     490  392     402      392      
P46      90       2      90      92   0       2        0        
P47      92       4      92      96   0       4        0        
P48      94       6      138     144  44      50       44       
P49      96       8      312     320  216     224      216      
P50      98       10     490     500  392     402      392      
P51      100      2      102     104  2       4        2        
P52      102      4      104     108  2       6        2        
P53      104      6      156     162  52      58       52       
P54      106      8      320     328  214     222      214      
P55      108      10     500     510  392     402      392      
P56      110      2      114     116  4       6        4        
P57      112      4      116     120  4       8        4        
P58      114      6      168     174  54      60       54       
P59      116      8      328     336  212     220      212      
P60      118      10     510     520  392     402      392      
P61      120      2      120     122  0       2        0        
P62      122      4      122     126  0       4        0        
P63      124      6      186     192  62      68       62       
P64      126      8      336     344  210     218      210      
P65      128      10     520     530  392     402      392      
P66      130      2      132     134  2       4        2        
P67      132      4      134     138  2       6        2        
P68      134      6      198     204  64      70       64       
P69      136      8      344     352  208     216      208      
P70      138      10     530     540  392     402      392      
P71      140      2      144     146  4       6        4        
P72      142      4      146     150  4       8        4        
P73      144      6      204     210  60      66       60       
P74      146      8      352     360  206     214      206      
P75      148      10     540     550  392     402      392      
P76      150      2      150     152  0       2        0        
P77      152      4      152     156  0       4        0        
P78      154      6      210     216  56      62       56       
P79      156      8      360     368  204     212      204      
P80      158      10     550     560  392     402      392      
P81      160      2      162     164  2       4        2        
P82      162      4      164     168  2       6        2        
P83      164      6      216     222  52      58       52       
P84      166      8      368     376  202     210      202      
P85      168      10     560     570  392     402      392      
P86      170      2      174     176  4       6        4        
P87      172      4      176     180  4       8        4        
P88      174      6      222     228  48      54       48       
P89      176      8      376     384  200     208      200      
P90      178      10     570     580  392     402      392      
P91      180      2      180     182  0       2        0        
P92      182      4      182     186  0       4        0        
P93      184      6      228     234  44      50       44       
P94      186      8      384     392  198     206      198      
P95      188      10     580     590  392     402      392      
P96      190      2      192     194  2       4        2        
P97      192      4      194     198  2       6        2        
P98      194      6      234     240  40      46       40       
P99      196      8      392     400  196     204      196      
P100     198      10     590     600  392     402      392      
-----------------------------------------------------------------------------------
Tiempo de espera promedio: 129.78
Tiempo de retorno promedio: 135.78
Tiempo de respuesta promedio: 129.78
